atletas.atleta_id,atletas.apelido,Posição,G,A,FT,FD,FF,FS,PS,PE,I,PP,DS,FC,GC,CA,CV,PC,SG,DE,DP,GS,Finalizacoes_Totais,Finalizacoes_Perigosas,Participação_Gols,Índice_Defensivo,pontos_fantasy,Eficiência_Chute
115268,Rômulo,ZAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29.0,44.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,77.6,0.0
115404,Rwan Cruz,ATA,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0,11.0,0.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,16.0,56.099999999999994,0.0
115537,Marcos Victor,ZAG,0.0,7.0,0.0,0.0,35.0,73.0,0.0,0,22.0,0.0,178.0,73.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,35.0,0.0,7.0,164.0,584.0,0.0
115563,Rodriguinho,MEI,0.0,0.0,0.0,0.0,17.0,16.0,0.0,0,0.0,0.0,0.0,108.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,-108.0,-58.8,0.0
115586,Emerson Galego,ATA,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,72.60000000000001,0.0
115594,Marcos Paulo,LAT,0.0,0.0,0.0,64.0,44.0,117.0,0.0,0,0.0,0.0,394.0,431.0,0.0,109.0,9.0,26.0,43.0,0.0,0.0,0.0,108.0,64.0,0.0,6.0,567.0,0.0
115674,Gabriel Delfim,GOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,52.0,0.0,0.0,0.0,0.0,26.0,0.0
115914,Evertton Araújo,MEI,28.0,0.0,0.0,108.0,27.0,210.0,0.0,0,0.0,0.0,322.0,354.0,0.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,135.0,108.0,28.0,-32.0,702.4,0.2074074074074074
115915,Lelê,ATA,0.0,0.0,0.0,13.0,15.0,18.0,0.0,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,13.0,0.0,-12.0,33.0,0.0
116012,Matheus Gonçalves,MEI,0.0,0.0,0.0,21.0,0.0,35.0,0.0,0,0.0,0.0,52.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,44.0,102.7,0.0
